Date,r_price,Event,Positive Event,Negative Event
2019-10-20,-0.0009444610541742118,0,0,0
2019-10-21,0.03200641003276491,0,0,0
2019-10-22,0.001528479755126516,0,0,0
2019-10-23,-0.02159459138047043,0,0,0
2019-10-24,-0.07438882317939435,0,0,0
2019-10-25,-0.004645847354114933,0,0,0
2019-10-26,0.1517412945853915,1,1,0
2019-10-27,0.06328123402250281,0,0,0
2019-10-28,0.03042920666014047,0,0,0
2019-10-29,-0.02797365050815754,0,0,0
2019-10-30,0.01794068860484099,0,0,0
2019-10-31,-0.02532977859748549,0,0,0
2019-11-01,-0.002188410486469863,0,0,0
2019-11-02,0.008875570823948988,0,0,0
2019-11-03,0.0074903118725979,0,0,0
2019-11-04,-0.01064986812370653,0,0,0
2019-11-05,0.01879895059507453,0,0,0
2019-11-06,-0.008413623375445557,0,0,0
2019-11-07,0.004256850744149202,0,0,0
2019-11-08,-0.0128199678083956,0,0,0
2019-11-09,-0.04720623641032796,0,0,0
2019-11-10,0.001577628080093529,0,0,0
2019-11-11,0.02620254448922316,0,0,0
2019-11-12,-0.03530951922757799,0,0,0
2019-11-13,0.008762789591161661,0,0,0
2019-11-14,-0.004092863804812017,0,0,0
2019-11-15,-0.01363240517417675,0,0,0
2019-11-16,-0.02003162135543924,0,0,0
2019-11-17,0.001878022974655599,0,0,0
2019-11-18,0.001425764784071294,0,0,0
2019-11-19,-0.03658583861210545,0,0,0
2019-11-20,-0.00783312641482733,0,0,0
2019-11-21,-0.005293115974796918,0,0,0
2019-11-22,-0.05893875650273795,0,0,0
2019-11-23,-0.0454978631293915,0,0,0
2019-11-24,0.002283865038162057,0,0,0
2019-11-25,-0.05251320642696988,0,0,0
2019-11-26,0.0259764442814569,0,0,0
2019-11-27,0.005522567522840819,0,0,0
2019-11-28,0.04454799633252441,1,1,0
2019-11-29,-0.006048977803686166,0,0,0
2019-11-30,0.03724082022635702,0,0,0
2019-12-01,-0.02153183903871476,0,0,0
