Date,Positive Event Days Elapsed,Probability,Distribution,Parameters
2013-12-18,30,0.05240535247623525,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-19,31,0.7140372617331951,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-20,32,0.7539682677718909,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-21,33,0.7783537361824482,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-22,34,0.7961323298830275,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-23,35,0.8102016569762946,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-24,36,0.8218815034369199,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-25,37,0.8318879377903516,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-26,38,0.8406543269493919,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-27,39,0.8484634781644637,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-28,40,0.8555104510562462,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-29,41,0.8619356209439843,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-30,42,0.8678434679388437,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2013-12-31,43,0.8733139124109333,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2014-01-01,44,0.8784094907227488,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2014-01-02,45,0.8831800811598907,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2014-01-03,46,0.8876661214380875,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2014-01-04,47,0.8919008619715275,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2014-01-05,48,0.895911982725641,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2014-01-06,49,0.8997227782432221,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2014-01-07,50,0.9033530424980063,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2014-01-08,51,0.9068197406008431,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2014-01-09,52,0.9101375262637963,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
2014-01-10,53,0.9133191457445372,powerlaw,"{'a': 0.07850444348046678, 'loc': 29.999999999999996, 'scale': 73.00000000000001}"
