Date,price,market_cap,total_volume,r_price,d_r_price,Event,Positive Event,Negative Event,Positive Event Days Elapsed
2023-02-04,23451.5776507746,452312595756.256,41267040610.7636,-0.003749600802388158,0.004099192667872471,0,0,0,14
2023-02-05,23340.3495855393,450197147854.798,21063097082.2578,-0.004754165143587474,-0.001004564341199316,0,0,0,15
2023-02-06,22946.2865785912,442933975658.565,26678691424.5499,-0.01702748614390096,-0.01227332100031349,0,0,0,16
2023-02-07,22786.4830063877,438726385719.161,33963650031.4703,-0.006988609002360932,0.01003887714154003,0,0,0,17
2023-02-08,23294.9136483527,449391195299.203,38850594358.6994,0.02206752882917813,0.02905613783153906,0,0,0,18
2023-02-09,22947.5078285684,442518382691.654,34247782005.7933,-0.01502569912483499,-0.03709322795401312,0,0,0,19
2023-02-10,21820.8865080927,420790678627.773,51161546272.3518,-0.05034173144745525,-0.03531603232262027,0,0,0,20
2023-02-11,21630.1329795762,417351358181.019,42389972640.4481,-0.008780219945701384,0.04156151150175387,0,0,0,21
2023-02-12,21889.4320800496,422107650473.779,23574706405.8385,0.01191657906454272,0.02069679901024411,0,0,0,22
2023-02-13,21779.8744038441,420218240428.131,25877166000.5502,-0.005017616027500312,-0.01693419509204303,0,0,0,23
2023-02-14,21807.834274723,420838871938.827,36761909546.1439,0.001282924730914682,0.006300540758414994,0,0,0,24
2023-02-15,22220.070997481,428649056117.732,45363697019.7375,0.01872670377543986,0.01744377904452518,0,0,0,25
2023-02-16,24307.8751016316,468820317786.953,44336284482.1901,0.08980439668838681,0.07107769291294695,1,1,0,26
2023-02-17,23756.9072815774,459293697174.945,48144978044.4554,-0.02292705499545165,-0.1127314516838385,0,0,0,1
2023-02-18,24628.8245521731,475194230168.099,54200707340.9414,0.03604416565642384,0.05897122065187549,0,0,0,2
2023-02-19,24642.7908707384,475529620771.949,24900444765.2769,0.0005669113472117085,-0.03547725430921213,0,0,0,3
2023-02-20,24284.4780037147,470798520570.043,33664683478.3325,-0.01464701713930268,-0.01521392848651438,0,0,0,4
2023-02-21,24786.6659408457,478236525469.649,38997046274.4972,0.0204684639326023,0.03511548107190497,0,0,0,5
2023-02-22,24417.3870363094,470623925511.178,41991954878.4476,-0.01501038291500003,-0.03547884684760233,0,0,0,6
2023-02-23,24146.1013645452,465998918250.245,40336608135.4969,-0.01117252910105646,0.003837853813943562,0,0,0,7
2023-02-24,23951.1109842332,461042830140.077,42356618035.3496,-0.00810822245465293,0.003064306646403534,0,0,0,8
2023-02-25,23172.2865380189,447316067422.047,35081974267.0799,-0.03305769157298458,-0.02494946911833165,0,0,0,9
2023-02-26,23157.0381074595,447030240435.998,22999909593.1094,-0.0006582626112809425,0.03239942896170364,0,0,0,10
2023-02-27,23541.1158544935,454284528651.502,24469102669.371,0.01644974694608344,0.01710800955736438,0,0,0,11
2023-02-28,23518.1239062758,454364917718.867,28832423816.4787,-0.000977149234199807,-0.01742689618028324,0,0,0,12
2023-03-01,23155.5437468257,446010055987.857,25534054046.0668,-0.01553713139039967,-0.01455998215619986,0,0,0,13
2023-03-02,23634.3334891237,456417315966.719,32507897259.0843,0.02046624111463632,0.03600337250503599,0,0,0,14
2023-03-03,23464.3365418528,453067155320.852,27432755758.4401,-0.007218789209257658,-0.02768503032389398,0,0,0,15
2023-03-04,22367.4330224696,431727585101.15,34239649135.0702,-0.04787565645206613,-0.04065686724280847,0,0,0,16
2023-03-05,22348.3299153881,431837491811.493,13392431931.9303,-0.0008544238983560944,0.04702123255371003,0,0,0,17
2023-03-06,22421.8858058532,433081135066.395,16080097920.1608,0.003285932643575134,0.004140356541931229,0,0,0,18
2023-03-07,22415.1136596948,432758824798.309,21124920006.0577,-0.0003020784749477976,-0.003588011118522931,0,0,0,19
2023-03-08,22217.2098849053,427994888566.542,27780357943.1626,-0.0088682397013475,-0.008566161226399702,0,0,0,20
2023-03-09,21712.6511939127,419694984165.382,28493032424.7831,-0.02297211359797124,-0.01410387389662375,0,0,0,21
2023-03-10,20376.3200074288,392841773384.44,40173833477.6607,-0.06352165232408473,-0.04054953872611348,0,0,0,22
2023-03-11,20195.2289502733,390202255053.335,51593890225.4874,-0.008927056739863258,0.05459459558422147,0,0,0,23
2023-03-12,20521.5561517511,394742728281.989,37746654239.6172,0.01602946735325115,0.02495652409311441,0,0,0,24
2023-03-13,22095.7133983356,425816781283.927,36639901908.824,0.07390777255157203,0.05787830519832089,0,0,0,25
2023-03-14,24178.9553279746,466509005562.781,66799159801.9581,0.09009901444798979,0.01619124189641775,0,0,0,26
2023-03-15,24758.7650858275,478406045309.608,70714394276.3707,0.02369693092006697,-0.06640208352792282,0,0,0,27
2023-03-16,24470.8820544503,472833547484.08,63107437928.814,-0.01169564803633329,-0.03539257895640026,0,0,0,28
2023-03-17,25161.27201752,486375597562.798,60688056874.8141,0.02782206452361799,0.03951771255995128,0,0,0,29
2023-03-18,27466.6778298298,530038219067.333,64617615617.8015,0.08766756698366998,0.05984550246005199,0,0,0,30
2023-03-19,27107.7921835043,523262280970.147,46473651090.5784,-0.01315233367087422,-0.1008199006545442,0,0,0,31
2023-03-20,28186.8426523601,546680822196.215,46394763656.0381,0.03903407545165338,0.0521864091225276,0,0,0,32
2023-03-21,27929.1677331402,538935400013.355,55315948514.4269,-0.009183715252950314,-0.0482177907046037,0,0,0,33
